"ID","Date","Year","Month","Age","Sex","Cause","LocationType","iHO"
242,2016-07-10,2016,7,16,"Male","Dead in care","city",NA
403,2016-10-23,2016,10,13,"Male","Dead in care","city",0.298
571,2016-06-26,2016,6,11,"Male","Dead of other causes in the wild","rural",NA
16,2016-07-07,2016,7,10,"Male","Dead of other causes in the wild","rural",NA
335,2016-10-01,2016,10,10,"Unknown","Roadkill","rural",0.215
343,2016-08-01,2016,8,10,"Male","Roadkill","rural",0.263
534,2016-09-24,2016,9,10,"Unknown","Roadkill","rural",NA
60,2016-06-19,2016,6,9,"Male","Roadkill","city",NA
377,2016-07-06,2016,7,9,"Male","Dead of other causes in the wild","rural",NA
175,2016-10-04,2016,10,6,"Unknown","Roadkill","rural",0.225
278,2016-07-13,2016,7,6,"Male","Roadkill","rural",0.314
281,2016-06-29,2016,6,6,"Male","Roadkill","rural",0.202
305,2016-07-05,2016,7,6,"Male","Roadkill","rural",0.312
489,2016-08-28,2016,8,6,"Male","Dead of other causes in the wild","rural",0.31
539,2011-10-16,2011,10,6,"Female","Dead of other causes in the wild","city",NA
570,2016-07-28,2016,7,6,"Unknown","Roadkill","city",NA
659,2016-05-03,2016,5,6,"Male","Dead of other causes in the wild","city",NA
673,2016-06-18,2016,6,6,"Male","Dead of other causes in the wild","city",NA
680,2016-08-05,2016,8,6,"Male","Roadkill","city",NA
688,2016-08-07,2016,8,6,"Male","Dead of other causes in the wild","city",NA
14,2016-06-13,2016,6,5,"Male","Roadkill","rural",NA
24,2016-07-08,2016,7,5,"Male","Dead in care","rural",NA
58,2016-07-29,2016,7,5,"Male","Dead in care","rural",NA
171,2016-07-22,2016,7,5,"Male","Dead in care","city",0.2
325,2016-07-04,2016,7,5,"Unknown","Roadkill","rural",0.224
336,2016-09-29,2016,9,5,"Female","Roadkill","rural",0.208
380,2016-08-06,2016,8,5,"Female","Roadkill","rural",NA
415,2016-07-10,2016,7,5,"Unknown","Roadkill","rural",NA
526,2011-11-26,2011,11,5,"Female","Dead in care","city",NA
562,2016-07-30,2016,7,5,"Female","Roadkill","city",NA
593,2016-09-29,2016,9,5,"Female","Dead of other causes in the wild","rural",NA
604,2016-09-03,2016,9,5,"Male","Roadkill","rural",NA
684,2016-08-17,2016,8,5,"Male","Dead of other causes in the wild","city",NA
687,2016-06-13,2016,6,5,"Female","Dead of other causes in the wild","city",NA
4,2016-08-12,2016,8,4,"Male","Dead of other causes in the wild","city",NA
48,2016-08-24,2016,8,4,"Unknown","Roadkill","rural",NA
61,2016-07-03,2016,7,4,"Male","Dead of other causes in the wild","city",NA
160,2016-07-07,2016,7,4,"Female","Roadkill","rural",0.223
221,2016-08-03,2016,8,4,"Male","Roadkill","rural",0.111
229,2016-06-24,2016,6,4,"Male","Roadkill","rural",0.299
345,2016-07-28,2016,7,4,"Female","Roadkill","rural",0.227
385,2016-09-26,2016,9,4,"Male","Roadkill","rural",NA
454,2016-09-01,2016,9,4,"Unknown","Roadkill","rural",NA
459,2016-08-24,2016,8,4,"Female","Dead of other causes in the wild","rural",NA
486,2016-08-23,2016,8,4,"Unknown","Roadkill","rural",NA
490,2016-09-07,2016,9,4,"Female","Roadkill","rural",0.315
491,2016-08-08,2016,8,4,"Unknown","Roadkill","rural",NA
501,2016-08-31,2016,8,4,"Unknown","Roadkill","rural",NA
502,2016-08-24,2016,8,4,"Female","Dead in care","rural",NA
566,2016-09-24,2016,9,4,"Unknown","Roadkill","rural",NA
589,2016-09-01,2016,9,4,"Female","Dead in care","city",NA
631,2016-05-06,2016,5,4,"Female","Roadkill","rural",NA
671,2016-08-23,2016,8,4,"Male","Dead of other causes in the wild","city",NA
696,2016-10-10,2016,10,4,"Female","Dead of other causes in the wild","city",NA
59,2016-06-30,2016,6,3,"Male","Roadkill","rural",NA
64,2016-07-06,2016,7,3,"Female","Roadkill","city",NA
137,2016-06-18,2016,6,3,"Male","Roadkill","rural",NA
210,2016-07-30,2016,7,3,"Male","Dead of other causes in the wild","city",0.18
